Matricula,Nombre_Alumno,Edad,Promedio_Bachillerato,Calificacion_Examen,Asistencia_Porcentaje,Horas_Estudio_Semana,Carrera
20260001,Alumno_1,19.0,,,62.07,5.0,Ciencia_Datos
20260002,Alumno_2,,8.91,54.21,81.25,,Lic_Criminologia
20260003,Alumno_3,20.0,7.94,58.08,81.63,15.0,Ingenieria_Sistemas
20260004,Alumno_4,19.0,8.53,94.93,,25.0,Ingenieria_Sistemas
20260005,Alumno_5,18.0,9.72,80.32,89.04,10.0,Ingenieria_Sistemas
20260006,Alumno_6,18.0,7.75,50.46,99.03,25.0,Ingenieria_Sistemas
20260007,Alumno_7,18.0,8.23,55.07,80.65,10.0,Ingenieria_Sistemas
20260008,Alumno_8,21.0,9.27,83.18,72.92,5.0,Ingenieria_Sistemas
20260009,Alumno_9,20.0,7.69,50.25,91.81,,Ingenieria_Sistemas
20260010,Alumno_10,20.0,7.23,,70.83,5.0,Ciencia_Datos
20260011,Alumno_11,18.0,7.87,77.44,77.56,10.0,Lic_Criminologia
20260012,Alumno_12,,,,63.14,,Ingenieria_Sistemas
20260013,Alumno_13,21.0,,82.6,61.01,,Ciencia_Datos
20260014,Alumno_14,18.0,9.42,61.21,98.51,15.0,Ciencia_Datos
20260015,Alumno_15,18.0,8.9,85.61,93.44,15.0,Lic_Criminologia
20260016,Alumno_16,18.0,9.61,61.86,87.84,10.0,Ingenieria_Sistemas
20260017,Alumno_17,19.0,9.41,66.27,76.36,10.0,Lic_Criminologia
20260018,Alumno_18,19.0,,87.32,66.93,10.0,Ingenieria_Sistemas
20260019,Alumno_19,19.0,,82.48,66.26,15.0,Ciencia_Datos
20260020,Alumno_20,18.0,8.62,92.46,,20.0,Ciencia_Datos
20260021,Alumno_21,20.0,9.42,82.88,81.97,20.0,Ciencia_Datos
20260022,Alumno_22,18.0,9.69,78.42,88.58,20.0,Ciencia_Datos
20260023,Alumno_23,18.0,7.95,54.68,86.41,5.0,Lic_Criminologia
20260024,Alumno_24,19.0,7.33,,71.2,10.0,Ingenieria_Sistemas
20260025,Alumno_25,19.0,7.68,63.26,98.19,5.0,Ingenieria_Sistemas
20260026,Alumno_26,20.0,8.28,62.2,89.52,15.0,Lic_Criminologia
20260027,Alumno_27,18.0,9.45,98.65,,10.0,Ingenieria_Sistemas
20260028,Alumno_28,19.0,9.58,69.65,84.47,25.0,Ciencia_Datos
20260029,Alumno_29,19.0,7.02,,76.78,10.0,Ingenieria_Sistemas
20260030,Alumno_30,18.0,,81.56,69.91,5.0,Ciencia_Datos
20260031,Alumno_31,20.0,8.25,89.74,74.24,5.0,Lic_Criminologia
20260032,Alumno_32,18.0,7.67,75.13,90.31,20.0,Ingenieria_Sistemas
20260033,Alumno_33,18.0,,,60.58,15.0,Lic_Criminologia
20260034,Alumno_34,22.0,,74.63,64.64,5.0,Ingenieria_Sistemas
20260035,Alumno_35,,,59.76,61.84,5.0,Ciencia_Datos
20260036,Alumno_36,21.0,,86.12,61.63,20.0,Lic_Criminologia
20260037,Alumno_37,19.0,8.56,64.04,94.22,5.0,Ingenieria_Sistemas
20260038,Alumno_38,18.0,9.11,51.22,88.15,25.0,Ciencia_Datos
20260039,Alumno_39,20.0,8.09,82.27,78.97,20.0,Lic_Criminologia
20260040,Alumno_40,19.0,,58.86,63.91,5.0,Lic_Criminologia
20260041,Alumno_41,18.0,9.89,97.02,,5.0,Ingenieria_Sistemas
20260042,Alumno_42,19.0,7.76,97.7,,,Ingenieria_Sistemas
20260043,Alumno_43,18.0,,95.74,,10.0,Ingenieria_Sistemas
20260044,Alumno_44,22.0,7.9,68.51,77.35,10.0,Ciencia_Datos
20260045,Alumno_45,18.0,7.85,50.77,75.94,25.0,Ingenieria_Sistemas
20260046,Alumno_46,20.0,7.11,,84.63,,Lic_Criminologia
20260047,Alumno_47,19.0,8.83,71.41,85.4,,Lic_Criminologia
20260048,Alumno_48,19.0,,98.33,,20.0,Ingenieria_Sistemas
20260049,Alumno_49,19.0,7.15,,74.98,10.0,Ingenieria_Sistemas
20260050,Alumno_50,18.0,7.84,92.65,,5.0,Lic_Criminologia
20260051,Alumno_51,,9.72,64.72,80.13,20.0,Ciencia_Datos
20260052,Alumno_52,20.0,7.72,69.25,94.26,15.0,Ingenieria_Sistemas
20260053,Alumno_53,22.0,7.43,,86.35,10.0,Ingenieria_Sistemas
20260054,Alumno_54,21.0,,65.85,66.52,,Lic_Criminologia
20260055,Alumno_55,19.0,,58.47,62.82,5.0,Ingenieria_Sistemas
20260056,Alumno_56,22.0,7.73,77.84,85.7,10.0,Ciencia_Datos
20260057,Alumno_57,18.0,,96.81,,5.0,Lic_Criminologia
20260058,Alumno_58,18.0,9.28,84.8,83.43,10.0,Ingenieria_Sistemas
20260059,Alumno_59,18.0,7.71,78.5,97.61,5.0,Lic_Criminologia
20260060,Alumno_60,19.0,9.18,54.86,83.02,5.0,Ingenieria_Sistemas
20260061,Alumno_61,19.0,8.1,80.75,75.53,5.0,Ingenieria_Sistemas
20260062,Alumno_62,18.0,8.9,99.5,,15.0,Ingenieria_Sistemas
20260063,Alumno_63,21.0,8.9,57.0,78.33,20.0,Ciencia_Datos
20260064,Alumno_64,19.0,8.61,75.92,81.82,15.0,Ciencia_Datos
20260065,Alumno_65,18.0,7.27,,97.66,,Lic_Criminologia
20260066,Alumno_66,19.0,9.51,87.04,75.44,10.0,Ingenieria_Sistemas
20260067,Alumno_67,18.0,7.96,84.85,98.45,10.0,Ingenieria_Sistemas
20260068,Alumno_68,21.0,7.56,85.12,96.21,25.0,Ciencia_Datos
20260069,Alumno_69,18.0,,,67.83,10.0,Ingenieria_Sistemas
20260070,Alumno_70,,,64.68,62.77,,Ciencia_Datos
20260071,Alumno_71,20.0,,90.47,,5.0,Ingenieria_Sistemas
20260072,Alumno_72,18.0,,,60.73,,Lic_Criminologia
20260073,Alumno_73,18.0,,93.35,,5.0,Ingenieria_Sistemas
20260074,Alumno_74,21.0,7.68,95.66,,25.0,Ingenieria_Sistemas
20260075,Alumno_75,20.0,,75.57,62.85,15.0,Ciencia_Datos
20260076,Alumno_76,20.0,7.52,75.08,72.76,,Ingenieria_Sistemas
20260077,Alumno_77,20.0,9.07,89.91,93.8,5.0,Ingenieria_Sistemas
20260078,Alumno_78,18.0,,82.5,60.93,15.0,Ciencia_Datos
20260079,Alumno_79,19.0,9.81,85.1,92.58,,Lic_Criminologia
20260080,Alumno_80,18.0,7.41,,71.27,15.0,Lic_Criminologia
20260081,Alumno_81,21.0,,94.5,,15.0,Ciencia_Datos
20260082,Alumno_82,20.0,7.34,,87.87,15.0,Ciencia_Datos
20260083,Alumno_83,19.0,9.77,68.78,85.16,10.0,Ciencia_Datos
20260084,Alumno_84,18.0,9.63,54.7,95.1,15.0,Ciencia_Datos
20260085,Alumno_85,19.0,7.77,78.91,89.4,15.0,Ciencia_Datos
20260086,Alumno_86,19.0,8.98,51.8,92.14,,Lic_Criminologia
20260087,Alumno_87,20.0,9.45,73.28,71.28,5.0,Lic_Criminologia
20260088,Alumno_88,20.0,,77.13,67.1,10.0,Ciencia_Datos
20260089,Alumno_89,21.0,8.59,64.33,90.02,,Ingenieria_Sistemas
20260090,Alumno_90,19.0,7.73,79.54,92.27,25.0,Ciencia_Datos
20260091,Alumno_91,18.0,7.28,,99.62,10.0,Ingenieria_Sistemas
20260092,Alumno_92,20.0,9.69,51.87,76.5,15.0,Ciencia_Datos
20260093,Alumno_93,20.0,9.7,91.13,,10.0,Ciencia_Datos
20260094,Alumno_94,19.0,8.9,68.01,91.06,5.0,Lic_Criminologia
20260095,Alumno_95,20.0,8.02,56.35,73.63,10.0,Ingenieria_Sistemas
20260096,Alumno_96,19.0,8.05,76.11,97.23,10.0,Ingenieria_Sistemas
20260097,Alumno_97,19.0,9.18,88.5,94.34,15.0,Lic_Criminologia
20260098,Alumno_98,19.0,9.69,60.79,77.16,5.0,Lic_Criminologia
20260099,Alumno_99,18.0,9.66,81.14,90.03,,Lic_Criminologia
20260100,Alumno_100,18.0,9.34,54.27,90.18,,Lic_Criminologia
