dbid,created,last,upi,version_i,deleted,timestamp,userstamp,ac,version,taxid,id,Cluster_Asignado
12,162,162,URS00006F7FE6,1,Y,2017-10-13 16:02:40.021948,rnacen,LT800692.1:1..88:ncRNA:snopy:Danio_rerio300000,1,7955,1139400675,5
12,162,162,URS00006BA115,1,Y,2017-10-13 16:02:29.636000,rnacen,LT800693.1:1..88:ncRNA:snopy:Danio_rerio300001,1,7955,1139400676,5
12,162,162,URS000064E9A4,1,Y,2017-10-13 16:01:49.742506,rnacen,LT800694.1:1..71:ncRNA:snopy:Danio_rerio300006,1,7955,1139400677,5
12,162,162,URS000071B7E0,1,Y,2017-10-13 16:02:25.111509,rnacen,LT800695.1:1..70:ncRNA:snopy:Danio_rerio300011,1,7955,1139400678,5
12,162,162,URS000067115C,1,Y,2017-10-13 16:01:56.890166,rnacen,LT800696.1:1..127:ncRNA:snopy:Danio_rerio300012,1,7955,1139400679,5
12,162,162,URS00006AD8E2,1,Y,2017-10-13 16:02:28.199315,rnacen,LT800697.1:1..70:ncRNA:snopy:Danio_rerio300013,1,7955,1139400680,5
12,162,162,URS000062866A,1,Y,2017-10-13 16:01:59.858377,rnacen,LT800698.1:1..216:ncRNA:snopy:Danio_rerio300020,1,7955,1139400681,5
12,162,162,URS00006258DB,1,Y,2017-10-13 16:02:26.722779,rnacen,LT800699.1:1..216:ncRNA:snopy:Danio_rerio300021,1,7955,1139400682,5
12,162,162,URS00006EE69D,1,Y,2017-10-13 16:01:48.519760,rnacen,LT800700.1:1..216:ncRNA:snopy:Danio_rerio300022,1,7955,1139400683,5
12,162,162,URS0000728FA9,1,Y,2017-10-13 16:02:41.707419,rnacen,LT800701.1:1..216:ncRNA:snopy:Danio_rerio300023,1,7955,1139400684,5
12,162,162,URS0000714AB3,1,Y,2017-10-13 16:01:59.349101,rnacen,LT800702.1:1..216:ncRNA:snopy:Danio_rerio300024,1,7955,1139400685,5
12,162,162,URS000062A271,1,Y,2017-10-13 16:01:47.123142,rnacen,LT800703.1:1..216:ncRNA:snopy:Danio_rerio300025,1,7955,1139400686,5
12,162,162,URS00006B0848,1,Y,2017-10-13 16:01:58.031478,rnacen,LT800704.1:1..215:ncRNA:snopy:Danio_rerio300026,1,7955,1139400687,5
12,162,162,URS00006916FA,1,Y,2017-10-13 16:02:13.298713,rnacen,LT800705.1:1..216:ncRNA:snopy:Danio_rerio300027,1,7955,1139400688,5
12,162,162,URS000070722D,1,Y,2017-10-13 16:02:38.447520,rnacen,LT800706.1:1..216:ncRNA:snopy:Danio_rerio300028,1,7955,1139400689,5
12,162,162,URS00006D3DBC,1,Y,2017-10-13 16:02:29.343294,rnacen,LT800707.1:1..77:ncRNA:snopy:Danio_rerio300029,1,7955,1139400690,5
12,162,162,URS00006D3DBC,1,Y,2017-10-13 16:02:29.343306,rnacen,LT800708.1:1..77:ncRNA:snopy:Danio_rerio300030,1,7955,1139400691,5
12,162,162,URS0000677FC1,1,Y,2017-10-13 16:02:13.142714,rnacen,LT800709.1:1..69:ncRNA:snopy:Danio_rerio300031,1,7955,1139400692,5
12,162,162,URS0000718FED,1,Y,2017-10-13 16:02:19.517687,rnacen,LT800710.1:1..94:ncRNA:snopy:Danio_rerio300032,1,7955,1139400693,5
12,162,162,URS0000648EF9,1,Y,2017-10-13 16:01:45.314132,rnacen,LT800711.1:1..93:ncRNA:snopy:Danio_rerio300033,1,7955,1139400694,4
12,162,162,URS00006C8EE0,1,Y,2017-10-13 16:01:58.914760,rnacen,LT800712.1:1..94:ncRNA:snopy:Danio_rerio300034,1,7955,1139400695,5
12,162,162,URS0000A87B8A,1,Y,2017-10-13 16:01:56.208001,rnacen,LT800713.1:1..87:ncRNA:snopy:Danio_rerio300035,1,7955,1139400696,5
12,162,162,URS000072ED4F,1,Y,2017-10-13 16:02:04.693451,rnacen,LT800714.1:1..216:ncRNA:snopy:Danio_rerio300036,1,7955,1139400697,5
12,162,162,URS000063D735,1,Y,2017-10-13 16:02:05.045836,rnacen,LT800715.1:1..216:ncRNA:snopy:Danio_rerio300037,1,7955,1139400698,5
12,162,162,URS00006FA4FC,1,Y,2017-10-13 16:02:14.888471,rnacen,LT800716.1:1..215:ncRNA:snopy:Danio_rerio300038,1,7955,1139400699,5
12,162,162,URS000063B546,1,Y,2017-10-13 16:02:34.829682,rnacen,LT800717.1:1..216:ncRNA:snopy:Danio_rerio300039,1,7955,1139400700,5
12,162,162,URS00006F5D22,1,Y,2017-10-13 16:01:55.736322,rnacen,LT800718.1:1..131:ncRNA:snopy:Danio_rerio300042,1,7955,1139400701,5
12,162,162,URS000063879A,1,Y,2017-10-13 16:02:15.550152,rnacen,LT800719.1:1..131:ncRNA:snopy:Danio_rerio300043,1,7955,1139400702,5
12,162,162,URS0000664E8E,1,Y,2017-10-13 16:02:22.222318,rnacen,LT800720.1:1..131:ncRNA:snopy:Danio_rerio300044,1,7955,1139400703,5
12,162,162,URS0000633157,1,Y,2017-10-13 16:01:53.684132,rnacen,LT800721.1:1..131:ncRNA:snopy:Danio_rerio300045,1,7955,1139400704,5
12,162,162,URS00006A6FBC,1,Y,2017-10-13 16:02:28.075790,rnacen,LT800722.1:1..72:ncRNA:snopy:Danio_rerio300046,1,7955,1139400705,5
12,162,162,URS00006720AE,1,Y,2017-10-13 16:02:23.083481,rnacen,LT800723.1:1..216:ncRNA:snopy:Danio_rerio300047,1,7955,1139400706,5
12,162,162,URS0000671535,1,Y,2017-10-13 16:01:45.906168,rnacen,LT800724.1:1..217:ncRNA:snopy:Danio_rerio300048,1,7955,1139400707,5
12,162,162,URS00006FA85B,1,Y,2017-10-13 16:02:07.870146,rnacen,LT800725.1:1..216:ncRNA:snopy:Danio_rerio300049,1,7955,1139400708,5
12,162,162,URS00006D0609,1,Y,2017-10-13 16:02:00.313757,rnacen,LT800726.1:1..217:ncRNA:snopy:Danio_rerio300051,1,7955,1139400709,5
12,162,162,URS00006D0030,1,Y,2017-10-13 16:01:55.813371,rnacen,LT800727.1:1..217:ncRNA:snopy:Danio_rerio300052,1,7955,1139400710,5
12,162,162,URS00006F9D80,1,Y,2017-10-13 16:02:27.557339,rnacen,LT800728.1:1..216:ncRNA:snopy:Danio_rerio300053,1,7955,1139400711,5
12,162,162,URS0000709C68,1,Y,2017-10-13 16:02:20.127778,rnacen,LT800729.1:1..99:ncRNA:snopy:Danio_rerio300054,1,7955,1139400712,5
12,162,162,URS0000708BF0,1,Y,2017-10-13 16:02:26.140912,rnacen,LT800730.1:1..216:ncRNA:snopy:Danio_rerio300055,1,7955,1139400713,5
12,162,162,URS0000A8F557,1,Y,2017-10-13 16:01:49.075281,rnacen,LT800731.1:1..76:ncRNA:snopy:Danio_rerio300057,1,7955,1139400714,5
12,162,162,URS000066B3AF,1,Y,2017-10-13 16:02:13.578595,rnacen,LT800732.1:1..133:ncRNA:snopy:Danio_rerio300059,1,7955,1139400715,5
12,162,162,URS00007084FE,1,Y,2017-10-13 16:02:10.970171,rnacen,LT800733.1:1..90:ncRNA:snopy:Danio_rerio300061,1,7955,1139400716,5
12,162,162,URS00006C3DCB,1,Y,2017-10-13 16:02:28.017658,rnacen,LT800734.1:1..136:ncRNA:snopy:Danio_rerio300062,1,7955,1139400717,5
12,162,162,URS0000696C61,1,Y,2017-10-13 16:02:40.947227,rnacen,LT800735.1:1..136:ncRNA:snopy:Danio_rerio300063,1,7955,1139400718,5
12,162,162,URS00006A4AAC,1,Y,2017-10-13 16:02:19.510165,rnacen,LT800736.1:1..136:ncRNA:snopy:Danio_rerio300064,1,7955,1139400719,5
12,162,162,URS0000AA80B6,1,Y,2017-10-13 16:02:25.595332,rnacen,LT800737.1:1..131:ncRNA:snopy:Danio_rerio300065,1,7955,1139400720,5
12,162,162,URS0000708BF0,1,Y,2017-10-13 16:02:26.140927,rnacen,LT800738.1:1..216:ncRNA:snopy:Danio_rerio300066,1,7955,1139400721,5
12,162,162,URS00006E0A43,1,Y,2017-10-13 16:01:54.296500,rnacen,LT800739.1:1..216:ncRNA:snopy:Danio_rerio300068,1,7955,1139400722,5
12,162,162,URS0000708BF0,1,Y,2017-10-13 16:02:26.140932,rnacen,LT800740.1:1..216:ncRNA:snopy:Danio_rerio300069,1,7955,1139400723,5
12,162,162,URS000071AC77,1,Y,2017-10-13 16:01:46.757704,rnacen,LT800741.1:1..217:ncRNA:snopy:Danio_rerio300070,1,7955,1139400724,5
12,162,162,URS00006342F8,1,Y,2017-10-13 16:01:47.162899,rnacen,LT800742.1:1..216:ncRNA:snopy:Danio_rerio300071,1,7955,1139400725,5
12,162,162,URS000062B416,1,Y,2017-10-13 16:01:41.490521,rnacen,LT800743.1:1..216:ncRNA:snopy:Danio_rerio300072,1,7955,1139400726,5
12,162,162,URS00006A070A,1,Y,2017-10-13 16:01:58.484569,rnacen,LT800744.1:1..216:ncRNA:snopy:Danio_rerio300073,1,7955,1139400727,5
12,162,162,URS000070315A,1,Y,2017-10-13 16:01:38.038200,rnacen,LT800745.1:1..133:ncRNA:snopy:Danio_rerio300075,1,7955,1139400728,5
12,162,162,URS00006EDD46,1,Y,2017-10-13 16:01:50.494173,rnacen,LT800746.1:1..127:ncRNA:snopy:Danio_rerio300076,1,7955,1139400729,5
12,162,162,URS000066182D,1,Y,2017-10-13 16:01:56.083464,rnacen,LT800747.1:1..133:ncRNA:snopy:Danio_rerio300078,1,7955,1139400730,5
12,162,162,URS000063BD50,1,Y,2017-10-13 16:01:43.074198,rnacen,LT800748.1:1..133:ncRNA:snopy:Danio_rerio300080,1,7955,1139400731,5
12,162,162,URS000067C834,1,Y,2017-10-13 16:01:55.916773,rnacen,LT800749.1:1..133:ncRNA:snopy:Danio_rerio300082,1,7955,1139400732,5
12,162,162,URS0000690D66,1,Y,2017-10-13 16:02:06.075655,rnacen,LT800750.1:1..71:ncRNA:snopy:Danio_rerio300085,1,7955,1139400733,5
12,162,162,URS000069D8C1,1,Y,2017-10-13 16:02:09.363018,rnacen,LT800751.1:1..72:ncRNA:snopy:Danio_rerio300086,1,7955,1139400734,5
12,162,162,URS0000A90C33,1,Y,2017-10-13 16:02:14.191162,rnacen,LT800752.1:1..81:ncRNA:snopy:Danio_rerio300087,1,7955,1139400735,5
12,162,162,URS0000A842E0,1,Y,2017-10-13 16:01:55.468105,rnacen,LT800753.1:1..81:ncRNA:snopy:Danio_rerio300088,1,7955,1139400736,5
12,162,162,URS000065DA31,1,Y,2017-10-13 16:01:50.507905,rnacen,LT800754.1:1..71:ncRNA:snopy:Danio_rerio300090,1,7955,1139400737,5
12,162,162,URS00006A76D4,1,Y,2017-10-13 16:01:55.129204,rnacen,LT800755.1:1..74:ncRNA:snopy:Danio_rerio300091,1,7955,1139400738,5
12,162,162,URS00006CD024,1,Y,2017-10-13 16:02:36.599607,rnacen,LT800756.1:1..81:ncRNA:snopy:Danio_rerio300092,1,7955,1139400739,5
12,162,162,URS00006FB8C1,1,Y,2017-10-13 16:02:25.041463,rnacen,LT800757.1:1..71:ncRNA:snopy:Danio_rerio300093,1,7955,1139400740,2
12,162,162,URS000068FCA3,1,Y,2017-10-13 16:02:13.874153,rnacen,LT800758.1:1..71:ncRNA:snopy:Danio_rerio300094,1,7955,1139400741,5
12,162,162,URS00006944CF,1,Y,2017-10-13 16:01:48.298923,rnacen,LT800759.1:1..76:ncRNA:snopy:Danio_rerio300097,1,7955,1139400742,5
12,162,162,URS00006667FA,1,Y,2017-10-13 16:02:05.715727,rnacen,LT800760.1:1..90:ncRNA:snopy:Danio_rerio300099,1,7955,1139400743,5
12,162,162,URS000067D85C,1,Y,2017-10-13 16:02:38.671111,rnacen,LT800761.1:1..136:ncRNA:snopy:Danio_rerio300100,1,7955,1139400744,5
12,162,162,URS0000685768,1,Y,2017-10-13 16:02:02.246477,rnacen,LT800762.1:1..99:ncRNA:snopy:Danio_rerio300101,1,7955,1139400745,5
12,162,162,URS0000697F48,1,Y,2017-10-13 16:01:53.861067,rnacen,LT800763.1:1..137:ncRNA:snopy:Danio_rerio300102,1,7955,1139400746,5
12,162,162,URS00006B37BE,1,Y,2017-10-13 16:01:48.354406,rnacen,LT800764.1:1..85:ncRNA:snopy:Danio_rerio300103,1,7955,1139400747,5
12,162,162,URS0000644FED,1,Y,2017-10-13 16:02:08.326414,rnacen,LT800765.1:1..87:ncRNA:snopy:Danio_rerio300104,1,7955,1139400748,5
12,162,162,URS00006FB7D7,1,Y,2017-10-13 16:02:43.097799,rnacen,LT800766.1:1..85:ncRNA:snopy:Danio_rerio300105,1,7955,1139400749,5
12,162,162,URS00006AC9B9,1,Y,2017-10-13 16:02:18.488612,rnacen,LT800767.1:1..85:ncRNA:snopy:Danio_rerio300106,1,7955,1139400750,5
12,162,162,URS0000A97982,1,Y,2017-10-13 16:02:06.352264,rnacen,LT800768.1:1..127:ncRNA:snopy:Danio_rerio300107,1,7955,1139400751,5
12,162,162,URS0000A8C893,1,Y,2017-10-13 16:01:43.547781,rnacen,LT800769.1:1..128:ncRNA:snopy:Danio_rerio300108,1,7955,1139400752,5
12,162,162,URS0000A845D6,1,Y,2017-10-13 16:02:14.765781,rnacen,LT800770.1:1..128:ncRNA:snopy:Danio_rerio300109,1,7955,1139400753,5
