id_viaje,pirata_id,isla_id,fecha_viaje,pirata,edad,recompensa_base,tripulacion_id,tripulacion,barco,isla,mar,combates_ganados,ultima_recompensa,fecha_ultima_recompensa
1,1,1,2023-01-10,Monkey D. Luffy,19,3000000000,1,Sombrero de Paja,Going Merry,Dressrosa,Grand Line,2,3000000000,2024-09-01
2,2,1,2023-01-10,Roronoa Zoro,21,1111000000,1,Sombrero de Paja,Going Merry,Dressrosa,Grand Line,2,1111000000,2024-09-01
3,10,1,2023-01-11,Nico Robin,30,930000000,1,Sombrero de Paja,Going Merry,Dressrosa,Grand Line,2,930000000,2024-09-01
4,4,2,2023-02-14,Sanji,21,1032000000,1,Sombrero de Paja,Going Merry,Whole Cake Island,Nuevo Mundo,0,1032000000,2024-09-01
5,3,2,2023-02-14,Nami,20,366000000,1,Sombrero de Paja,Going Merry,Whole Cake Island,Nuevo Mundo,1,366000000,2024-09-01
6,5,2,2023-02-20,Jinbe,46,1100000000,1,Sombrero de Paja,Going Merry,Whole Cake Island,Nuevo Mundo,1,1100000000,2024-09-01
7,6,3,2023-03-01,Trafalgar D. Water Law,26,3000000000,2,Piratas Heart,Polar Tang,Wano,Nuevo Mundo,2,3000000000,2024-09-01
8,7,3,2023-03-01,Bepo,22,500,2,Piratas Heart,Polar Tang,Wano,Nuevo Mundo,0,500,2024-09-01
9,8,3,2023-03-02,Eustass Kid,23,3000000000,3,Piratas Kid,Victoria Punk,Wano,Nuevo Mundo,0,3000000000,2024-09-01
10,9,3,2023-03-02,Killer,27,200000000,3,Piratas Kid,Victoria Punk,Wano,Nuevo Mundo,0,200000000,2024-09-01
11,1,3,2023-03-03,Monkey D. Luffy,19,3000000000,1,Sombrero de Paja,Going Merry,Wano,Nuevo Mundo,2,3000000000,2024-09-01
12,2,3,2023-03-03,Roronoa Zoro,21,1111000000,1,Sombrero de Paja,Going Merry,Wano,Nuevo Mundo,2,1111000000,2024-09-01
13,5,3,2023-03-04,Jinbe,46,1100000000,1,Sombrero de Paja,Going Merry,Wano,Nuevo Mundo,1,1100000000,2024-09-01
14,1,4,2023-04-01,Monkey D. Luffy,19,3000000000,1,Sombrero de Paja,Going Merry,Egghead,Nuevo Mundo,2,3000000000,2024-09-01
15,3,4,2023-04-01,Nami,20,366000000,1,Sombrero de Paja,Going Merry,Egghead,Nuevo Mundo,1,366000000,2024-09-01
