nombre,edad
Persona_1,41
Persona_2,59
Persona_3,18
Persona_4,24
Persona_5,38
Persona_6,34
Persona_7,52
Persona_8,26
Persona_9,21
Persona_10,31
Persona_11,51
Persona_12,42
Persona_13,51
Persona_14,54
Persona_15,57
Persona_16,33
Persona_17,47
Persona_18,55
Persona_19,30
Persona_20,57
Persona_21,42
Persona_22,37
Persona_23,20
Persona_24,33
Persona_25,34
Persona_26,41
Persona_27,31
Persona_28,28
Persona_29,60
Persona_30,36
Persona_31,47
Persona_32,50
Persona_33,27
Persona_34,42
Persona_35,23
Persona_36,36
Persona_37,57
Persona_38,59
Persona_39,40
Persona_40,20
Persona_41,40
Persona_42,57
Persona_43,21
Persona_44,35
Persona_45,54
Persona_46,27
Persona_47,46
Persona_48,34
Persona_49,43
Persona_50,50
Persona_1,41
Persona_2,59
Persona_3,18
Persona_4,24
Persona_5,38
Persona_6,34
Persona_7,52
Persona_8,26
Persona_9,21
Persona_10,31
Persona_11,51
Persona_12,42
Persona_13,51
Persona_14,54
Persona_15,57
Persona_16,33
Persona_17,47
Persona_18,55
Persona_19,30
Persona_20,57
Persona_21,42
Persona_22,37
Persona_23,20
Persona_24,33
Persona_25,34
Persona_26,41
Persona_27,31
Persona_28,28
Persona_29,60
Persona_30,36
Persona_31,47
Persona_32,50
Persona_33,27
Persona_34,42
Persona_35,23
Persona_36,36
Persona_37,57
Persona_38,59
Persona_39,40
Persona_40,20
Persona_41,40
Persona_42,57
Persona_43,21
Persona_44,35
Persona_45,54
Persona_46,27
Persona_47,46
Persona_48,34
Persona_49,43
Persona_50,50
