dbid,created,last,upi,version_i,deleted,timestamp,userstamp,ac,version,taxid,id
12,162,162,URS00006F7FE6,1,Y,2017-10-13 16:02:40.021948,rnacen,LT800692.1:1..88:ncRNA:snopy:Danio_rerio300000,1,7955,1139400675
12,162,162,URS00006BA115,1,Y,2017-10-13 16:02:29.636000,rnacen,LT800693.1:1..88:ncRNA:snopy:Danio_rerio300001,1,7955,1139400676
12,162,162,URS000064E9A4,1,Y,2017-10-13 16:01:49.742506,rnacen,LT800694.1:1..71:ncRNA:snopy:Danio_rerio300006,1,7955,1139400677
12,162,162,URS000071B7E0,1,Y,2017-10-13 16:02:25.111509,rnacen,LT800695.1:1..70:ncRNA:snopy:Danio_rerio300011,1,7955,1139400678
12,162,162,URS000067115C,1,Y,2017-10-13 16:01:56.890166,rnacen,LT800696.1:1..127:ncRNA:snopy:Danio_rerio300012,1,7955,1139400679
12,162,162,URS00006AD8E2,1,Y,2017-10-13 16:02:28.199315,rnacen,LT800697.1:1..70:ncRNA:snopy:Danio_rerio300013,1,7955,1139400680
12,162,162,URS000062866A,1,Y,2017-10-13 16:01:59.858377,rnacen,LT800698.1:1..216:ncRNA:snopy:Danio_rerio300020,1,7955,1139400681
12,162,162,URS00006258DB,1,Y,2017-10-13 16:02:26.722779,rnacen,LT800699.1:1..216:ncRNA:snopy:Danio_rerio300021,1,7955,1139400682
12,162,162,URS00006EE69D,1,Y,2017-10-13 16:01:48.519760,rnacen,LT800700.1:1..216:ncRNA:snopy:Danio_rerio300022,1,7955,1139400683
12,162,162,URS0000728FA9,1,Y,2017-10-13 16:02:41.707419,rnacen,LT800701.1:1..216:ncRNA:snopy:Danio_rerio300023,1,7955,1139400684
12,162,162,URS0000714AB3,1,Y,2017-10-13 16:01:59.349101,rnacen,LT800702.1:1..216:ncRNA:snopy:Danio_rerio300024,1,7955,1139400685
12,162,162,URS000062A271,1,Y,2017-10-13 16:01:47.123142,rnacen,LT800703.1:1..216:ncRNA:snopy:Danio_rerio300025,1,7955,1139400686
12,162,162,URS00006B0848,1,Y,2017-10-13 16:01:58.031478,rnacen,LT800704.1:1..215:ncRNA:snopy:Danio_rerio300026,1,7955,1139400687
12,162,162,URS00006916FA,1,Y,2017-10-13 16:02:13.298713,rnacen,LT800705.1:1..216:ncRNA:snopy:Danio_rerio300027,1,7955,1139400688
12,162,162,URS000070722D,1,Y,2017-10-13 16:02:38.447520,rnacen,LT800706.1:1..216:ncRNA:snopy:Danio_rerio300028,1,7955,1139400689
12,162,162,URS00006D3DBC,1,Y,2017-10-13 16:02:29.343294,rnacen,LT800707.1:1..77:ncRNA:snopy:Danio_rerio300029,1,7955,1139400690
